Version,Metric,Value,Usecase
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),GFX,30.439157038886417,DOUYIN02-5G
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total CPU,82.80995380962186,DOUYIN02-5G
6-CS - M800-27(Dark Green)/M767E_AU392 (Blue)_newGPUDriver(Orange),Total Memory,60.58014096120146,DOUYIN02-5G
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Adjusted,265.13,DOUYIN02-5G
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),CX,31.37111,DOUYIN02-5G
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),GFX,16.64,DOUYIN02-5G
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total CPU,84.44127429,DOUYIN02-5G
7-Post CS1 - M800-27/M800-35E(Green)/M850E (Blue),Total Memory,49.6103651,DOUYIN02-5G
1-FC - M523_AU298+M609_AU328-8(Blue),Adjusted,340.9250876750019,GP01W
1-FC - M523_AU298+M609_AU328-8(Blue),CX,33.83360742139518,GP01W
1-FC - M523_AU298+M609_AU328-8(Blue),GFX,23.22307870925592,GP01W
1-FC - M523_AU298+M609_AU328-8(Blue),Total CPU,116.46010689335763,GP01W
1-FC - M523_AU298+M609_AU328-8(Blue),Total Memory,47.277920606039416,GP01W
2-PreCS1 - M619_r2(Orange),Adjusted,305.472619957803,GP01W
2-PreCS1 - M619_r2(Orange),CX,36.793071163112884,GP01W
2-PreCS1 - M619_r2(Orange),GFX,21.543416173912277,GP01W
2-PreCS1 - M619_r2(Orange),Total CPU,80.50458127635514,GP01W
2-PreCS1 - M619_r2(Orange),Total Memory,49.14525524152542,GP01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Adjusted,304.722619957803,GP01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,CX,36.793071163112884,GP01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,GFX,21.543416173912277,GP01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total CPU,80.50458127635514,GP01W
3-PreCS3 - M619_AU328(Orange) + M665_AU344(Blue)  R2,Total Memory,49.14525524152542,GP01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Adjusted,304.722619957803,GP01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,CX,36.793071163112884,GP01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,GFX,21.543416173912277,GP01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total CPU,80.50458127635514,GP01W
4-PreCS4 - M619_AU328(Orange) +  M665_AU344(Blue) + M717_AU361 R2,Total Memory,49.14525524152542,GP01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Adjusted,304.33795434349554,GP01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),CX,30.971715587666406,GP01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),GFX,24.1615586369152,GP01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total CPU,86.05981418639385,GP01W
5-CS Candidate - M767E_AU392 (Blue)_392_02-29_Purple_newAU_newGPUDriver(Green),Total Memory,45.25312618524976,GP01W
